artist_uri,artist_name,song_uri,song_name
spotify:artist:6oBm8HB0yfrIc9IHbxs6in,Lykke Li,spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,I Follow Rivers - The Magician Remix
spotify:artist:53KwLdlmrlCelAZMaLVZqU,James Blake,spotify:track:2IqjKEBiz0CdLKdkXhxw84,Retrograde
spotify:artist:21VBNkZvKxrI9zmfFRxXvn,8-Bit Arcade,spotify:track:5xqglCR5jOKKwFAlNiSg1P,Empire State of Mind (8-Bit Jay Z Emulation)
spotify:artist:5he5w2lnU9x7JFhnwcekXX,Skrillex,spotify:track:4rwpZEcnalkuhPyGkEdhu0,Scary Monsters and Nice Sprites
spotify:artist:7bu3H8JO7d0UbMoVzbo70s,The Cure,spotify:track:263aNAQCeFSWipk896byo6,Friday I'm in Love
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge
spotify:artist:7mnBLXK823vNxN3UWB7Gfz,The Black Keys,spotify:track:0grFc6klR3hxoHLcgCYsF4,Howlin' for You
spotify:artist:51Blml2LZPmy7TTiAg47vQ,U2,spotify:track:6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered
spotify:artist:0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,spotify:track:5iSEsR6NKjlC9SrIJkyL3k,Pursuit Of Happiness (Nightmare)
spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012
spotify:artist:3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,spotify:track:11bD1JtSjlIgKgZG2134DZ,Chasing Cars
spotify:artist:762310PdDnwsDxAQxzQkfX,Depeche Mode,spotify:track:1YwNlWLf8auhazSQUDQLFU,Enjoy the Silence - Single Mix
spotify:artist:4KWTAlx2RvbpseOGMEmROg,R.E.M.,spotify:track:31AOj9sFz2gM0O3hMARRBx,Losing My Religion
spotify:artist:2jzc5TC5TVFLXQlBNiIUzE,a-ha,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,Take on Me
spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,spotify:track:59WN2psjkt1tyaxjspN8fp,Killing In The Name
spotify:artist:34v5MVKeQnIo0CWYMbbrPf,John Newman,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,Love Me Again
spotify:artist:26bcq2nyj5GB7uRr558iQg,Survivor,spotify:track:2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger
spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,spotify:track:2IZZqH4K02UIYg5EohpNHF,Zombie
spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,spotify:track:5X4ojuZG2mZ68EcLyBQ1D3,"Derezzed - From ""TRON: Legacy""/Score"
spotify:artist:67hb7towEyKvt5Z8Bx306c,Empire of the Sun,spotify:track:5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream
spotify:artist:0OdUWJ0sBjDrqHygGUXeCF,Band of Horses,spotify:track:27IZXTdeGYjU6m5lTyDpmr,The Funeral
spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,Zedd,spotify:track:60wwxj6Dd9NJlirf84wr2c,Clarity
spotify:artist:7gjAu1qr5C2grXeQFFOGeh,Passion Pit,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk
spotify:artist:6nS5roXSAGhTGr34W6n7Et,Disclosure,spotify:track:1snNAXmmPXCn0dkF9DaPWw,You & Me - Flume Remix
spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,Poker Face
spotify:artist:6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,spotify:track:5jE48hhRu8E6zBDPRSkEq7,All About That Bass
spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,spotify:track:4fbvXwMTXPWaFyaMWUm9CR,Holocene
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,"Lose Yourself - From ""8 Mile"" Soundtrack"
spotify:artist:4Ui2kfOqGujY81UcPrb5KE,HAIM,spotify:track:6golelYKuy85o3u0cxIxFK,The Wire
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,spotify:track:0uXO2GrNiIb1xHT9LUdxZE,Sexy Bitch (feat. Akon)
spotify:artist:1LZEQNv7sE11VDY3SdxQeN,Bee Gees,spotify:track:3mRM4NM8iO7UBqrSigCQFH,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack"
spotify:artist:0UF7XLthtbSF2Eur7559oV,Kavinsky,spotify:track:0U0ldCRmgCqhVvD6ksG63j,Nightcall
spotify:artist:0C0XlULifJtAgn6ZNCW2eu,The Killers,spotify:track:7HGTkn2aX7MNdKs7nV2xBt,Somebody Told Me
spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen,spotify:track:57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011
spotify:artist:74ASZWbe4lXaubB36ztrGX,Bob Dylan,spotify:track:3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone
spotify:artist:163tK9Wjr9P9DmM0AVK7lm,Lorde,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,Team
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:track:6jAsmDJI8iPhGWtS27kZ67,Only Girl (In The World)
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:2U8g9wVcUu9wsg6i7sFSv8,Every Teardrop Is a Waterfall
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,spotify:track:23khhseCLQqVMCIT1WMAns,Magic
spotify:artist:1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,spotify:track:65hRZOQkVjmBdusz1N7aOv,Save The World
spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,Best of You
spotify:artist:1xU878Z1QtBldR7ru9owdU,Phoenix,spotify:track:3FM33HqRlV7J1QJoPOnd2u,1901
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,spotify:track:22L7bfCiAkJo5xGSQgmiIO,All Of The Lights
spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,spotify:track:1h2xVEoJORqrg71HocgqXd,Superstition - Single Version
spotify:artist:5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,spotify:track:3oiMJQAWVaxSubJ7b2VUtX,Fancy
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,The A Team
spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,Beat It - Single Version
spotify:artist:7mnBLXK823vNxN3UWB7Gfz,The Black Keys,spotify:track:2MVwrvjmcdt4MsYYLCYMt8,Tighten Up
spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,spotify:track:4yqtwO7MQIIXqoiRBPHAgR,Money for Nothing
spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,spotify:track:2nMeu6UenVvwUktBCpLMK9,Young And Beautiful
spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,spotify:track:047fCsbO4NdmwCBn8pcUXl,Marvins Room
spotify:artist:2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,spotify:track:6A9mKXlFRPMPem6ygQSt7z,Three Little Birds
spotify:artist:77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather
spotify:artist:7oPftvlwr6VrsViSDV7fJY,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s,Basket Case
spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,Radiohead,spotify:track:5jafMI8FLibnjkYTZ33m0c,High And Dry
